date,state,positive,negative,pending,hospitalized,death,total,dateChecked
20200314,RI,20,198,57,,,275,2020-03-14T20:00:00Z
20200314,SC,13,110,,,,123,2020-03-14T20:00:00Z
20200314,SD,9,182,3,,,194,2020-03-14T20:00:00Z
20200314,TN,32,130,,,,162,2020-03-14T20:00:00Z
20200314,TX,51,,,,,51,2020-03-14T20:00:00Z
20200314,UT,6,131,,,,137,2020-03-14T20:00:00Z
20200314,VA,30,117,,,,147,2020-03-14T20:00:00Z
20200314,VT,4,227,,,,231,2020-03-14T20:00:00Z
20200314,WA,568,6001,,,37,6569,2020-03-14T20:00:00Z
20200314,WI,19,169,,,,188,2020-03-14T20:00:00Z
20200314,WV,0,26,5,,,31,2020-03-14T20:00:00Z
20200314,WY,2,,,,,2,2020-03-14T20:00:00Z
20200313,AK,1,59,,,,60,2020-03-13T20:00:00Z
20200313,AL,1,11,,,,12,2020-03-13T20:00:00Z
20200313,AR,9,30,22,,,61,2020-03-13T20:00:00Z
20200313,AZ,9,94,40,,0,143,2020-03-13T20:00:00Z
20200313,CA,202,916,,,4,1118,2020-03-13T20:00:00Z
20200313,CO,72,524,,,,596,2020-03-13T20:00:00Z
20200313,CT,6,99,,,,105,2020-03-13T20:00:00Z
20200313,DC,10,20,,,,30,2020-03-13T20:00:00Z
20200313,DE,4,30,10,,,44,2020-03-13T20:00:00Z
20200313,FL,50,478,221,,2,749,2020-03-13T20:00:00Z
20200313,GA,42,,,,1,42,2020-03-13T20:00:00Z
20200313,HI,2,,,,,2,2020-03-13T20:00:00Z
20200313,IA,16,83,29,,,128,2020-03-13T20:00:00Z
20200313,ID,0,131,,,,131,2020-03-13T20:00:00Z
20200313,IL,32,294,92,,,418,2020-03-13T20:00:00Z
20200313,IN,12,61,,,,73,2020-03-13T20:00:00Z
20200313,KS,6,93,,,,99,2020-03-13T20:00:00Z
20200313,KY,11,107,,,,118,2020-03-13T20:00:00Z
20200313,LA,36,37,,,,73,2020-03-13T20:00:00Z
20200313,MA,123,92,,,,215,2020-03-13T20:00:00Z
20200313,MD,17,94,,,,111,2020-03-13T20:00:00Z
20200313,ME,3,91,17,,,111,2020-03-13T20:00:00Z
20200313,MI,16,133,26,,,175,2020-03-13T20:00:00Z
20200313,MN,14,541,,,,555,2020-03-13T20:00:00Z
20200313,MO,2,71,,,,73,2020-03-13T20:00:00Z
20200313,MS,4,41,,,,45,2020-03-13T20:00:00Z
20200313,MT,1,55,,,,56,2020-03-13T20:00:00Z
20200313,NC,15,86,,,,101,2020-03-13T20:00:00Z
20200313,ND,1,39,12,,0,52,2020-03-13T20:00:00Z
20200313,NE,13,80,33,,,126,2020-03-13T20:00:00Z
20200313,NH,6,94,21,,,121,2020-03-13T20:00:00Z
20200313,NJ,50,97,80,,1,227,2020-03-13T20:00:00Z
20200313,NM,10,190,,,,200,2020-03-13T20:00:00Z
20200313,NV,11,168,,,,179,2020-03-13T20:00:00Z
20200313,NY,421,2779,,,,3200,2020-03-13T20:00:00Z
20200313,OH,13,50,159,,,222,2020-03-13T20:00:00Z
20200313,OK,3,36,37,,,76,2020-03-13T20:00:00Z
20200313,OR,30,337,157,,,524,2020-03-13T20:00:00Z
20200313,PA,33,140,130,,,303,2020-03-13T20:00:00Z
20200313,RI,14,142,29,,,185,2020-03-13T20:00:00Z
20200313,SC,12,75,,,,87,2020-03-13T20:00:00Z
20200313,SD,9,73,11,,,93,2020-03-13T20:00:00Z
20200313,TN,26,116,,,,142,2020-03-13T20:00:00Z
20200313,TX,39,,,,,39,2020-03-13T20:00:00Z
20200313,UT,6,131,,,,137,2020-03-13T20:00:00Z
20200313,VA,30,117,,,,147,2020-03-13T20:00:00Z
20200313,VT,2,142,,,,144,2020-03-13T20:00:00Z
20200313,WA,457,4350,,,31,4807,2020-03-13T20:00:00Z
20200313,WI,19,169,,,,188,2020-03-13T20:00:00Z
20200313,WV,0,17,4,,,21,2020-03-13T20:00:00Z
20200313,WY,1,,,,,1,2020-03-13T20:00:00Z
20200312,AK,0,46,14,,,60,2020-03-12T20:00:00Z
20200312,AL,0,10,,,,10,2020-03-12T20:00:00Z
20200312,AR,6,24,20,,,50,2020-03-12T20:00:00Z
20200312,AZ,9,82,24,,,115,2020-03-12T20:00:00Z
20200312,CA,202,916,,,4,1118,2020-03-12T20:00:00Z
20200312,CO,45,298,,,,343,2020-03-12T20:00:00Z
20200312,CT,6,89,,,,95,2020-03-12T20:00:00Z
20200312,DC,10,20,,,,30,2020-03-12T20:00:00Z
20200312,DE,4,23,14,,,41,2020-03-12T20:00:00Z
20200312,FL,32,301,147,,2,480,2020-03-12T20:00:00Z
20200312,GA,31,,,,,31,2020-03-12T20:00:00Z
20200312,HI,2,,,,,2,2020-03-12T20:00:00Z
20200312,IA,14,67,24,,,105,2020-03-12T20:00:00Z
20200312,ID,0,93,,,,93,2020-03-12T20:00:00Z
20200312,IL,25,266,76,,,367,2020-03-12T20:00:00Z
20200312,IN,12,52,,,,64,2020-03-12T20:00:00Z
20200312,KS,4,41,,,,45,2020-03-12T20:00:00Z
20200312,KY,8,56,,,,64,2020-03-12T20:00:00Z
20200312,LA,14,37,,,,51,2020-03-12T20:00:00Z
20200312,MA,95,,,,,95,2020-03-12T20:00:00Z
20200312,MD,12,94,,,,106,2020-03-12T20:00:00Z
20200312,ME,1,65,20,,,86,2020-03-12T20:00:00Z
20200312,MI,2,91,27,,,120,2020-03-12T20:00:00Z
20200312,MN,9,307,,,,316,2020-03-12T20:00:00Z
20200312,MO,1,64,,,,65,2020-03-12T20:00:00Z
20200312,MS,1,41,,,,42,2020-03-12T20:00:00Z
20200312,MT,1,34,,,,35,2020-03-12T20:00:00Z
20200312,NC,12,60,,,,72,2020-03-12T20:00:00Z
20200312,ND,1,12,14,,,27,2020-03-12T20:00:00Z
20200312,NE,10,80,33,,,123,2020-03-12T20:00:00Z
20200312,NH,6,94,21,,,121,2020-03-12T20:00:00Z
20200312,NJ,30,74,20,,1,124,2020-03-12T20:00:00Z
20200312,NM,5,155,,,,160,2020-03-12T20:00:00Z
20200312,NV,7,168,,,,175,2020-03-12T20:00:00Z
20200312,NY,216,,,,,216,2020-03-12T20:00:00Z
