state,deaths
NY,1218
NJ,198
WA,195
LA,185
MI,184
CA,133
GA,87
IL,73
FL,63
MA,56
CO,51
PA,49
OH,39
CT,36
IN,35
TX,34
VA,25
AZ,20
SC,18
OK,17
MS,16
OR,16
NV,15
MD,15
WI,14
TN,13
MO,13
VT,12
MN,10
DC,9
KY,9
KS,8
AR,7
DE,6
NC,6
PR,6
AL,6
IA,6
ID,6
UT,4
RI,4
MT,4
NH,3
AK,3
ME,3
NM,2
ND,2
NE,2
WV,1
GU,1
SD,1
HI,0
WY,0
VI,0
AS,0
MP,0
