state,cases
NY,52318
NJ,11124
CA,4643
MA,4257
FL,3763
WA,3723
MI,3657
IL,3491
LA,3315
PA,2751
GA,2366
TX,2052
CO,1734
OH,1406
TN,1373
CT,1291
IN,1232
MD,992
WI,989
NC,935
AZ,873
MO,838
VA,739
AL,696
MS,663
NV,621
UT,602
SC,539
OR,479
MN,441
AR,404
OK,377
DC,304
KY,302
IA,298
KS,261
ID,230
DE,214
VT,211
ME,211
RI,203
NM,191
NH,187
MT,129
HI,120
PR,100
WV,96
NE,96
AK,85
ND,83
WY,82
SD,68
GU,55
VI,22
MP,2
AS,0
