state,deaths
NY,210
WA,110
LA,46
NJ,44
CA,40
GA,32
MI,24
FL,18
IL,16
IN,12
CT,12
MA,11
TX,9
OH,8
OR,8
VA,7
PA,7
CO,7
VT,7
WI,5
AZ,5
SC,5
NV,4
KY,4
OK,3
MD,3
MO,3
DC,2
TN,2
PR,2
KS,2
HI,1
NH,1
GU,1
UT,1
MN,1
MS,1
SD,1
DE,0
WV,0
WY,0
NM,0
NC,0
ND,0
NE,0
VI,0
AK,0
AL,0
AS,0
AR,0
IA,0
ID,0
ME,0
RI,0
MT,0
MP,0
