state,cases
NY,37258
NJ,6876
CA,3006
MI,2856
WA,2580
IL,2538
MA,2417
FL,2355
LA,2305
PA,1687
GA,1525
TX,1396
CO,1086
CT,1012
TN,957
OH,867
WI,707
IN,645
NC,636
MD,580
AZ,577
AL,506
MO,502
MS,485
VA,460
SC,456
NV,420
UT,402
MN,346
AR,335
OR,327
OK,248
DC,231
KY,198
IA,179
KS,168
RI,165
VT,158
ME,155
NH,137
DE,130
ID,123
NM,112
HI,95
NE,73
MT,71
PR,64
AK,59
WY,53
ND,52
WV,51
SD,46
GU,45
VI,17
AS,0
MP,0
