state,cases
NY,222284
NJ,75317
MA,32181
MI,29263
PA,27735
CA,26182
IL,25733
FL,22897
LA,22532
TX,16455
CT,15884
GA,15669
MD,10784
WA,10783
IN,9542
OH,8414
CO,8280
VA,6889
TN,6262
NC,5465
MO,5111
AL,4345
AZ,4234
WI,3875
RI,3838
SC,3656
MS,3624
NV,3321
UT,2683
OK,2357
DC,2350
KY,2291
IA,2141
DE,2075
MN,1912
OR,1736
AR,1620
KS,1588
ID,1587
NM,1484
SD,1311
NH,1139
PR,1043
NE,952
ME,796
VT,768
WV,739
HI,530
MT,415
ND,393
AK,300
WY,296
GU,135
VI,51
MP,13
AS,0
