state,cases
NY,30811
NJ,4402
WA,2469
MI,2294
CA,2102
IL,1865
MA,1838
LA,1795
FL,1682
GA,1247
PA,1127
TX,974
CO,912
CT,875
TN,784
OH,704
WI,585
NC,504
IN,477
AZ,450
SC,424
MD,423
VA,391
MS,377
MO,356
UT,346
NV,321
MN,287
AL,283
AR,280
OR,209
DC,183
OK,164
KY,157
ME,149
IA,145
KS,126
RI,124
VT,123
DE,115
NH,108
NM,100
HI,90
ID,73
NE,61
MT,53
PR,51
WY,44
AK,42
SD,41
WV,39
ND,39
GU,37
VI,17
AS,0
MP,0
