state,deaths
NY,7844
NJ,1932
MI,1281
LA,755
MA,599
IL,596
CA,514
WA,446
PA,416
GA,416
FL,390
CT,380
IN,300
OH,231
TX,226
CO,226
MD,171
WI,128
VA,121
TN,98
AZ,97
MO,96
OK,88
NV,86
MS,82
AL,80
KY,79
NC,74
SC,72
MN,57
KS,50
RI,49
OR,44
PR,39
DC,38
IA,31
VT,24
ID,24
DE,23
AR,23
NH,21
NM,17
ME,17
UT,17
NE,15
AK,7
HI,6
ND,6
MT,6
SD,6
WV,5
GU,4
MP,2
VI,1
WY,0
AS,0
