state,cases
NY,75795
NJ,18696
MI,7615
CA,7482
MA,6620
FL,6338
IL,5994
LA,5237
WA,4896
PA,4843
GA,3929
TX,3266
CT,3128
CO,2627
TN,2239
OH,2199
IN,2159
MD,1660
NC,1498
WI,1351
MO,1327
AZ,1289
VA,1250
NV,1113
SC,1083
AL,981
MS,937
UT,887
OR,690
MN,629
OK,565
AR,523
IA,497
DC,495
RI,488
KY,480
KS,428
ID,415
DE,406
NH,314
ME,303
VT,293
NM,281
PR,239
HI,204
MT,184
NE,172
WV,162
ND,126
AK,119
WY,109
SD,108
GU,69
VI,30
MP,2
AS,0
