state,deaths
NY,728
WA,175
NJ,140
LA,137
CA,101
MI,92
GA,69
FL,54
IL,47
MA,44
PA,34
CO,31
IN,31
TX,27
CT,27
OH,25
VA,17
OK,15
AZ,15
WI,13
MS,13
SC,13
OR,13
VT,12
NV,10
MO,10
KY,8
TN,6
AR,5
MD,5
MN,5
KS,5
DC,4
NC,4
ID,4
DE,3
PR,3
AL,3
IA,3
NH,2
NE,2
AK,2
UT,2
NM,1
ND,1
GU,1
ME,1
MT,1
SD,1
WV,0
HI,0
WY,0
VI,0
AS,0
RI,0
MP,0
