state,deaths
NY,519
WA,147
LA,119
NJ,108
MI,92
CA,78
GA,64
MA,35
FL,34
IL,34
CT,27
CO,24
IN,24
TX,23
PA,22
OH,19
VA,14
WI,13
AZ,13
OR,12
NV,10
VT,10
SC,9
OK,8
MO,8
MS,8
TN,6
KY,6
MD,5
MN,4
KS,4
DC,3
NC,3
PR,3
AL,3
AR,3
IA,3
ID,3
DE,2
UT,2
NH,1
NM,1
GU,1
AK,1
ME,1
SD,1
WV,0
HI,0
WY,0
ND,0
NE,0
VI,0
AS,0
RI,0
MT,0
MP,0
