GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0100000US,,United States,0500000US39055,39055,United States - Ohio - Geauga County,Geauga County,T1_POP$0500000US39055,T1_HU$0500000US39055,,,,,
0100000US,,United States,0500000US39085,39085,United States - Ohio - Lake County,Lake County,T1_POP$0500000US39085,T1_HU$0500000US39085,,,,,
0100000US,,United States,0500000US39155,39155,United States - Ohio - Trumbull County,Trumbull County,T1_POP$0500000US39155,T1_HU$0500000US39155,,,,,
0100000US,,United States,0500000US42029,42029,United States - Pennsylvania - Chester County,Chester County,T1_POP$0500000US42029,,,,,,
0100000US,,United States,0500000US42033,42033,United States - Pennsylvania - Clearfield County,Clearfield County,T1_POP$0500000US42033,T1_HU$0500000US42033,,,,,
0100000US,,United States,0500000US42045,42045,United States - Pennsylvania - Delaware County,Delaware County,T1_POP$0500000US42045,T1_HU$0500000US42045,,,,,
0100000US,,United States,0500000US42065,42065,United States - Pennsylvania - Jefferson County,Jefferson County,T1_POP$0500000US42065,T1_HU$0500000US42065,,,,,
0100000US,,United States,0500000US42091,42091,United States - Pennsylvania - Montgomery County,Montgomery County,T1_POP$0500000US42091,T1_HU$0500000US42091,,,,,
0100000US,,United States,0500000US45021,45021,United States - South Carolina - Cherokee County,Cherokee County,T1_POP$0500000US45021,,,,,,
0100000US,,United States,0500000US45055,45055,United States - South Carolina - Kershaw County,Kershaw County,T1_POP$0500000US45055,,,,,,
0100000US,,United States,0400000US46,46,United States - South Dakota,South Dakota,T1_POP$0400000US46,T1_HU$0400000US46,,,,,
0100000US,,United States,0500000US46047,46047,United States - South Dakota - Fall River County,Fall River County,,T1_HU$0500000US46047,,,,,
0100000US,,United States,0500000US46093,46093,United States - South Dakota - Meade County,Meade County,T1_POP$0500000US46093,T1_HU$0500000US46093,,,,,
0100000US,,United States,0500000US46103,46103,United States - South Dakota - Pennington County,Pennington County,T1_POP$0500000US46103,T1_HU$0500000US46103,,,,,
0100000US,,United States,0400000US48,48,United States - Texas,Texas,T1_POP$0400000US48,T1_HU$0400000US48,,,,,
0100000US,,United States,0500000US48215,48215,United States - Texas - Hidalgo County,Hidalgo County,T1_POP$0500000US48215,T1_HU$0500000US48215,,,,,
0100000US,,United States,0500000US51003,51003,United States - Virginia - Albemarle County,Albemarle County,T1_POP$0500000US51003,,,,,,
0100000US,,United States,0500000US51059,51059,United States - Virginia - Fairfax County,Fairfax County,T1_POP$0500000US51059,T1_HU$0500000US51059,,,,,
0100000US,,United States,0500000US51199,51199,United States - Virginia - York County,York County,T1_POP$0500000US51199,T1_HU$0500000US51199,,,,,
0100000US,,United States,0500000US51510,51510,United States - Virginia - Alexandria city,Alexandria city,T1_POP$0500000US51510,T1_HU$0500000US51510,,,,,
0100000US,,United States,0500000US51540,51540,United States - Virginia - Charlottesville city,Charlottesville city,T1_POP$0500000US51540,,,,,,
0100000US,,United States,0500000US51650,51650,United States - Virginia - Hampton city,Hampton city,T1_POP$0500000US51650,T1_HU$0500000US51650,,,,,
0100000US,,United States,0500000US51700,51700,United States - Virginia - Newport News city,Newport News city,T1_POP$0500000US51700,T1_HU$0500000US51700,,,,,
0100000US,,United States,0500000US51830,51830,United States - Virginia - Williamsburg city,Williamsburg city,T1_POP$0500000US51830,T1_HU$0500000US51830,,,,,
0100000US,,United States,0400000US72,72,Puerto Rico,Puerto Rico,T1_POP$0400000US72,T1_HU$0400000US72,,,,,
0100000US,,United States,0500000US72063,72063,Puerto Rico - Gurabo Municipio,Gurabo Municipio,T1_POP$0500000US72063,T1_HU$0500000US72063,,,,,
